0,103,113,1
1,-38,-108,1
2,36,103,1
3,5,-58,1
4,-21,39,1
5,-23,-102,1
6,-128,-44,1
7,126,-111,1
8,9,-62,1
9,4,123,1
0,102,119,2
1,-37,-106,2
2,39,112,2
3,4,-55,2
4,-20,39,2
5,-18,-109,2
6,-128,-44,2
7,124,-112,2
8,15,-63,2
9,7,118,2
0,101,124,3
1,-34,-100,3
2,40,116,3
3,1,-47,3
4,-15,39,3
5,-15,-113,3
6,-124,-45,3
7,116,-116,3
8,22,-64,3
9,11,112,3
0,99,-125,4
1,-34,-100,4
2,43,125,4
3,0,-44,4
4,-7,39,4
5,-10,-120,4
6,-116,-47,4
7,114,-117,4
8,31,-65,4
9,15,106,4
0,97,-119,5
1,-34,-100,5
2,44,128,5
3,-3,-37,5
4,1,39,5
5,-6,-126,5
6,-108,-49,5
7,107,-121,5
8,40,-66,5
9,20,98,5
0,95,-113,6
1,-31,-95,6
2,45,-126,6
3,-5,-31,6
4,8,39,6
5,-6,-126,6
6,-99,-51,6
7,99,-125,6
8,49,-67,6
9,22,95,6
0,93,-108,7
1,-26,-87,7
2,47,-121,7
3,-7,-23,7
4,9,39,7
5,-1,123,7
6,-94,-52,7
7,94,-127,7
8,56,-68,7
9,22,95,7
0,90,-102,8
1,-26,-87,8
2,50,-114,8
3,-9,-16,8
4,17,39,8
5,1,120,8
6,-85,-53,8
7,90,128,8
8,65,-69,8
9,24,92,8
0,86,-95,9
1,-23,-83,9
2,53,-108,9
3,-10,-13,9
4,26,39,9
5,5,114,9
6,-77,-54,9
7,84,125,9
8,74,-70,9
9,27,88,9
0,84,-91,10
1,-17,-76,10
2,56,-101,10
3,-11,-10,10
4,33,39,10
5,10,107,10
6,-77,-54,10
7,75,121,10
8,74,-70,10
9,33,80,10
0,83,-89,11
1,-16,-75,11
2,57,-98,11
3,-11,-10,11
4,35,39,11
5,16,99,11
6,-72,-55,11
7,67,117,11
8,79,-71,11
9,37,75,11
0,79,-82,12
1,-14,-73,12
2,60,-90,12
3,-13,-3,12
4,36,39,12
5,22,91,12
6,-64,-57,12
7,65,116,12
8,87,-73,12
9,40,71,12
0,76,-77,13
1,-7,-67,13
2,60,-90,13
3,-13,-3,13
4,43,39,13
5,26,86,13
6,-58,-59,13
7,59,113,13
8,96,-76,13
9,44,66,13
0,72,-69,14
1,-3,-63,14
2,62,-84,14
3,-13,-3,14
4,45,39,14
5,31,80,14
6,-51,-62,14
7,59,113,14
8,96,-76,14
9,44,66,14
0,71,-67,15
1,-3,-63,15
2,63,-81,15
3,-16,5,15
4,51,39,15
5,34,76,15
6,-44,-65,15
7,54,110,15
8,104,-78,15
9,49,60,15
0,69,-63,16
1,1,-59,16
2,66,-73,16
3,-18,10,16
4,53,39,16
5,38,71,16
6,-38,-67,16
7,49,107,16
8,110,-79,16
9,54,54,16
0,65,-55,17
1,1,-59,17
2,69,-64,17
3,-22,19,17
4,62,39,17
5,44,63,17
6,-32,-69,17
7,43,104,17
8,119,-80,17
9,57,50,17
0,61,-46,18
1,7,-52,18
2,72,-56,18
3,-23,21,18
4,63,39,18
5,50,56,18
6,-29,-70,18
7,39,102,18
8,125,-81,18
9,57,50,18
0,58,-39,19
1,7,-52,19
2,74,-51,19
3,-23,21,19
4,69,39,19
5,54,51,19
6,-22,-73,19
7,35,100,19
