N_individuals,steps,scenario,proportion_of_habitat,matrix_permeability,perceptual_range,vision_angle,total_crossings,assess_top_sections
100,500,8,14,30,9,131,540,0.494
100,500,8,48,31,9,113,518,0.454
100,500,8,48,30,13,113,647,0.468
100,500,8,14,31,13,113,551,0.488
100,500,8,48,31,13,113,535,0.48
100,500,8,48,31,13,131,474,0.521
100,500,8,73,68,9,169,732,0.44
100,500,8,87,52,9,169,612,0.462
100,500,8,73,52,9,169,575,0.431
100,500,8,73,52,9,127,708,0.486
100,500,8,22,79,19,156,710,0.404
100,500,8,22,43,19,92,740,0.426
100,500,8,18,43,19,156,644,0.57
100,500,8,22,43,19,156,826,0.574
100,500,8,87,68,28,127,772,0.387
100,500,8,73,52,28,169,777,0.453
100,500,8,66,14,21,136,758,0.525
100,500,8,66,53,21,116,711,0.401
100,500,8,52,53,21,136,879,0.468
100,500,8,66,53,21,136,835,0.399
100,500,8,34,65,8,139,620,0.4
100,500,8,34,22,8,105,604,0.462
100,500,8,49,65,8,105,570,0.391
100,500,8,34,65,8,105,648,0.36
100,500,8,18,79,28,92,702,0.407
100,500,8,52,14,14,116,585,0.588
100,500,8,22,43,28,156,838,0.582
100,500,8,66,53,14,136,687,0.45
100,500,8,58,39,38,113,900,0.492
100,500,8,20,39,38,113,937,0.518
100,500,8,58,68,38,113,868,0.495
100,500,8,49,22,31,139,866,0.656
100,500,8,58,39,38,153,965,0.515
100,500,8,34,65,31,105,828,0.455
100,500,8,20,68,32,153,898,0.442
100,500,8,58,39,32,113,812,0.453
100,500,8,51,73,36,97,846,0.457
100,500,8,51,39,36,151,1137,0.575
100,500,8,51,73,36,151,877,0.472
100,500,8,34,73,36,151,883,0.498
100,500,8,34,39,22,97,671,0.419
100,500,8,51,73,22,151,748,0.413
100,500,8,22,45,40,90,895,0.453
100,500,8,53,55,8,114,594,0.431
100,500,8,72,43,9,175,555,0.544
100,500,8,22,47,40,137,1069,0.475
100,500,8,53,47,41,90,862,0.464
100,500,8,22,45,40,137,1115,0.513
100,500,8,53,45,40,137,999,0.529
100,500,8,53,52,8,117,641,0.409
100,500,8,53,55,8,117,635,0.403
100,500,8,57,55,8,117,638,0.404
100,500,8,72,29,9,98,658,0.412
100,500,8,57,52,19,114,692,0.465
100,500,8,72,43,9,98,553,0.387
100,500,8,36,43,9,98,622,0.387
100,500,8,22,45,41,137,1184,0.542
100,500,8,36,29,18,175,804,0.655
100,500,8,64,49,14,139,805,0.451
100,500,8,53,55,19,117,685,0.448
100,500,8,33,79,8,132,726,0.369
100,500,8,72,43,18,98,675,0.41
100,500,8,66,67,21,91,623,0.411
100,500,8,77,49,38,109,837,0.453
100,500,8,77,75,38,139,941,0.467
100,500,8,77,75,14,109,579,0.39
100,500,8,77,75,38,109,949,0.434
100,500,8,64,75,38,109,920,0.426
100,500,8,15,45,8,108,544,0.366
100,500,8,15,79,28,108,771,0.411
100,500,8,11,54,21,179,784,0.509
100,500,8,15,45,28,108,672,0.476
100,500,8,33,45,28,108,737,0.482
100,500,8,15,45,28,132,780,0.465
100,500,8,11,67,15,179,571,0.462
100,500,8,11,54,15,179,604,0.555
100,500,8,11,54,15,91,538,0.383
100,500,8,66,54,15,179,718,0.529
100,500,8,36,16,40,175,755,0.788
100,500,8,63,16,32,127,970,0.548
100,500,8,36,46,32,127,821,0.488
100,500,8,63,46,32,127,862,0.451
100,500,8,63,46,40,127,1084,0.469
100,500,8,63,46,32,175,1068,0.483
100,500,8,19,20,25,118,652,0.594
100,500,8,19,57,25,118,725,0.414
100,500,8,11,57,25,118,745,0.401
100,500,8,19,57,25,114,729,0.472
100,500,8,55,36,19,103,645,0.462
100,500,8,55,63,19,103,634,0.42
100,500,8,43,63,19,103,683,0.375
100,500,8,11,20,41,114,713,0.525
100,500,8,55,63,19,125,673,0.471
100,500,8,43,36,10,125,653,0.43
100,500,8,61,14,9,93,592,0.476
100,500,8,17,14,28,122,599,0.656
100,500,8,19,57,41,118,992,0.47
100,500,8,61,33,28,122,875,0.502
100,500,8,21,34,13,156,520,0.635
100,500,8,17,33,28,122,646,0.546
100,500,8,55,63,10,103,582,0.349
100,500,8,17,33,28,93,694,0.471
100,500,8,17,33,9,122,493,0.454
100,500,8,75,14,13,176,856,0.592
100,500,8,33,27,42,114,990,0.571
100,500,8,75,14,41,156,929,0.513
100,500,8,75,34,41,176,1125,0.505
100,500,8,21,14,41,176,670,0.739
100,500,8,75,14,41,176,987,0.54
100,500,8,14,74,21,161,710,0.462
100,500,8,57,81,42,131,1208,0.491
100,500,8,16,27,21,148,650,0.614
100,500,8,57,81,37,114,866,0.468
100,500,8,57,27,37,131,880,0.527
100,500,8,81,84,32,154,981,0.478
100,500,8,16,27,9,161,526,0.61
100,500,8,16,74,9,148,629,0.385
100,500,8,33,81,37,131,1051,0.482
100,500,8,14,27,9,148,512,0.596
100,500,8,57,81,37,131,1104,0.455
100,500,8,16,27,9,148,651,0.594
100,500,8,36,37,20,154,686,0.589
100,500,8,36,84,20,144,764,0.414
100,500,8,36,37,32,144,866,0.524
100,500,8,81,37,20,144,541,0.44
100,500,8,35,68,24,168,786,0.511
100,500,8,36,37,20,144,708,0.617
100,500,8,60,68,21,128,724,0.409
100,500,8,60,71,21,168,680,0.438
100,500,8,55,62,11,152,822,0.46
100,500,8,35,71,21,128,841,0.423
100,500,8,55,63,11,115,637,0.405
100,500,8,60,71,24,128,731,0.409
100,500,8,60,71,21,128,722,0.417
100,500,8,21,59,12,139,567,0.439
100,500,8,32,63,11,152,611,0.393
100,500,8,32,62,26,115,750,0.479
100,500,8,21,79,12,126,629,0.377
100,500,8,55,63,11,152,630,0.417
100,500,8,21,79,12,139,549,0.406
100,500,8,21,79,12,139,549,0.406
100,500,8,80,28,20,119,666,0.428
100,500,8,80,41,20,109,742,0.395
100,500,8,17,41,20,119,641,0.473
100,500,8,55,63,26,152,838,0.42
100,500,8,80,41,20,119,658,0.427
100,500,8,65,12,30,100,896,0.424
100,500,8,65,68,30,123,869,0.437
100,500,8,21,59,38,126,932,0.523
100,500,8,38,12,30,123,802,0.64
100,500,8,65,12,30,123,902,0.449
100,500,8,21,79,38,139,977,0.461
100,500,8,18,71,32,113,773,0.432
100,500,8,17,28,35,109,797,0.517
100,500,8,18,26,32,166,535,0.578
100,500,8,43,71,32,166,816,0.511
100,500,8,18,71,32,166,847,0.471
100,500,8,38,68,25,100,767,0.378
100,500,8,80,41,35,119,844,0.443
100,500,8,76,82,39,114,880,0.435
100,500,8,43,26,23,113,655,0.519
100,500,8,56,30,7,114,591,0.433
100,500,8,65,12,25,123,737,0.459
100,500,8,76,30,39,158,1074,0.483
100,500,8,16,59,26,147,845,0.469
100,500,8,56,82,39,158,1110,0.508
100,500,8,18,71,23,166,842,0.448
100,500,8,76,82,39,158,963,0.51
100,500,8,76,82,7,158,611,0.38
100,500,8,16,13,26,133,550,0.696
100,500,8,66,13,35,147,925,0.532
100,500,8,66,59,26,133,888,0.429
100,500,8,16,59,26,133,853,0.442
100,500,8,53,37,17,149,838,0.567
100,500,8,16,30,39,149,990,0.555
100,500,8,16,59,35,133,1021,0.476
100,500,8,26,45,13,136,627,0.447
100,500,8,16,30,17,166,508,0.65
100,500,8,16,37,39,166,1094,0.555
100,500,8,84,50,36,136,776,0.457
100,500,8,26,50,13,177,555,0.514
100,500,8,53,30,39,166,1025,0.632
100,500,8,41,77,29,126,866,0.421
100,500,8,58,48,5,177,594,0.616
100,500,8,16,30,39,166,930,0.518
100,500,8,84,45,13,177,537,0.54
100,500,8,26,45,13,177,499,0.513
100,500,8,11,14,36,126,645,0.626
100,500,8,41,14,29,178,675,0.827
100,500,8,26,45,36,177,860,0.61
100,500,8,71,44,10,177,798,0.521
100,500,8,58,44,5,169,729,0.514
100,500,8,86,56,34,105,874,0.406
100,500,8,63,35,7,111,609,0.432
100,500,8,11,77,29,178,969,0.44
100,500,8,71,48,5,169,597,0.407
100,500,8,47,78,11,130,472,0.428
100,500,8,15,56,11,159,730,0.455
100,500,8,41,77,29,178,1080,0.478
100,500,8,65,20,13,151,808,0.556
100,500,8,58,48,5,169,678,0.588
100,500,8,34,20,34,105,807,0.577
100,500,8,86,20,34,105,744,0.384
100,500,8,63,68,7,122,551,0.392
100,500,8,47,17,11,152,379,0.644
100,500,8,34,56,34,105,776,0.479
100,500,8,15,74,11,104,608,0.352
100,500,8,13,35,7,122,475,0.451
100,500,8,41,77,36,178,1048,0.604
100,500,8,74,78,11,152,599,0.382
100,500,8,22,20,28,159,910,0.776
100,500,8,65,64,13,174,760,0.463
100,500,8,58,48,10,169,683,0.542
100,500,8,86,56,34,105,874,0.406
100,500,8,27,56,11,104,727,0.374
100,500,8,63,35,7,122,595,0.41
100,500,8,13,68,33,111,771,0.445
100,500,8,30,20,13,174,477,0.822
100,500,8,47,78,11,152,573,0.431
