N_individuals,steps,scenario,proportion_of_habitat,matrix_permeability,perceptual_range,vision_angle,total_crossings,assess_top_sections
100,500,8,67,64,37,106,1059,0.422
100,500,8,41,64,37,106,992,0.479
100,500,8,67,33,37,106,1033,0.55
100,500,8,64,30,38,140,1186,0.57
100,500,8,79,40,38,116,957,0.449
100,500,8,11,64,35,131,977,0.493
100,500,8,11,64,35,152,949,0.53
100,500,8,67,64,35,131,1178,0.459
100,500,8,11,40,35,131,1073,0.578
100,500,8,51,13,31,118,1026,0.433
100,500,8,60,27,31,126,1108,0.557
100,500,8,81,42,31,120,918,0.469
100,500,8,81,42,31,161,1010,0.549
100,500,8,21,68,14,155,922,0.483
100,500,8,21,68,14,121,775,0.394
100,500,8,34,42,31,161,1463,0.54
100,500,8,81,76,31,161,1012,0.433
100,500,8,79,40,22,140,913,0.473
100,500,8,46,68,14,121,711,0.387
100,500,8,79,40,22,116,909,0.382
100,500,8,21,55,14,121,840,0.456
100,500,8,64,40,22,116,985,0.435
100,500,8,43,16,42,120,1364,0.511
100,500,8,79,30,22,116,876,0.46
100,500,8,33,32,42,133,1432,0.594
100,500,8,60,27,37,118,1177,0.445
100,500,8,60,27,37,126,1159,0.518
100,500,8,51,27,37,126,1182,0.48
100,500,8,60,13,37,126,1196,0.553
100,500,8,53,60,41,115,1030,0.47
100,500,8,13,33,41,106,1030,0.59
100,500,8,34,89,15,95,735,0.371
100,500,8,87,46,15,158,811,0.414
100,500,8,33,32,39,120,1239,0.566
100,500,8,34,27,19,142,1399,0.45
100,500,8,23,34,19,156,1374,0.563
100,500,8,33,32,39,133,1435,0.509
100,500,8,43,32,39,133,1334,0.483
100,500,8,33,16,39,133,1528,0.599
100,500,8,13,33,36,115,1005,0.574
100,500,8,13,33,36,106,837,0.513
100,500,8,87,46,21,95,783,0.372
100,500,8,53,33,36,106,1058,0.426
100,500,8,42,80,37,171,1022,0.52
100,500,8,78,77,37,157,1111,0.509
100,500,8,13,60,36,106,898,0.477
100,500,8,87,46,21,158,782,0.509
100,500,8,23,34,23,142,1517,0.593
100,500,8,34,46,21,158,1184,0.481
100,500,8,78,77,10,171,810,0.36
100,500,8,88,63,23,152,810,0.422
100,500,8,66,79,23,124,857,0.391
100,500,8,87,89,21,158,695,0.423
100,500,8,23,34,23,156,1710,0.635
100,500,8,78,77,10,157,854,0.388
100,500,8,34,34,23,156,1175,0.488
100,500,8,42,77,10,157,1006,0.351
100,500,8,23,27,23,156,1846,0.678
100,500,8,78,80,10,157,846,0.405
100,500,8,57,48,40,120,1294,0.503
100,500,8,72,55,40,122,1257,0.455
100,500,8,66,79,41,152,1271,0.502
100,500,8,66,79,41,124,1193,0.487
100,500,8,89,74,26,108,760,0.375
100,500,8,88,79,41,124,973,0.487
100,500,8,30,77,26,154,966,0.446
100,500,8,66,63,41,124,1229,0.503
100,500,8,57,48,31,122,1118,0.437
100,500,8,57,48,31,120,1084,0.459
100,500,8,72,48,31,120,922,0.479
100,500,8,17,71,35,127,820,0.443
100,500,8,32,18,35,104,1154,0.514
100,500,8,57,55,31,120,1026,0.464
100,500,8,89,74,34,108,867,0.466
100,500,8,89,74,34,154,1066,0.461
100,500,8,30,74,34,108,911,0.439
100,500,8,89,77,34,108,801,0.447
100,500,8,76,22,35,141,1148,0.591
100,500,8,61,87,35,173,1099,0.495
100,500,8,17,71,32,127,869,0.433
100,500,8,17,71,32,104,752,0.427
100,500,8,32,71,32,127,1004,0.439
100,500,8,17,18,32,127,668,0.623
100,500,8,19,13,38,125,1325,0.691
100,500,8,87,45,38,140,995,0.485
100,500,8,32,67,21,142,966,0.431
100,500,8,76,22,40,141,1255,0.589
100,500,8,62,42,11,124,791,0.374
100,500,8,72,54,21,134,1006,0.412
100,500,8,61,22,40,141,1485,0.559
100,500,8,76,22,40,173,1515,0.603
100,500,8,53,15,11,156,1168,0.467
100,500,8,76,87,40,141,1064,0.462
100,500,8,19,13,32,125,1401,0.67
100,500,8,87,13,32,125,853,0.51
100,500,8,60,13,37,120,1213,0.526
100,500,8,19,13,32,140,1377,0.765
100,500,8,19,45,32,125,983,0.566
100,500,8,71,13,37,118,1237,0.563
100,500,8,32,67,29,142,835,0.414
100,500,8,32,67,29,134,885,0.429
100,500,8,72,67,29,142,927,0.427
100,500,8,32,54,29,142,1142,0.493
100,500,8,62,42,35,124,1037,0.455
100,500,8,10,34,41,137,1167,0.535
100,500,8,79,82,41,139,1064,0.463
100,500,8,54,19,16,151,1180,0.394
100,500,8,53,42,35,124,1030,0.434
100,500,8,62,15,35,124,1065,0.578
100,500,8,44,59,16,134,951,0.392
100,500,8,62,42,35,156,1252,0.581
100,500,8,14,45,19,92,730,0.448
100,500,8,28,17,19,163,1805,0.619
100,500,8,64,39,21,130,1013,0.394
100,500,8,60,13,37,120,1213,0.526
100,500,8,85,77,21,167,822,0.426
100,500,8,30,34,18,171,1573,0.521
100,500,8,71,13,37,120,1243,0.603
100,500,8,60,13,37,120,1213,0.526
100,500,8,29,79,18,122,885,0.393
100,500,8,60,13,37,118,1107,0.516
100,500,8,10,34,31,137,1108,0.551
100,500,8,79,34,31,137,866,0.503
100,500,8,10,82,31,137,874,0.43
100,500,8,10,34,31,139,1120,0.609
100,500,8,54,19,26,151,1122,0.462
100,500,8,44,19,26,151,1229,0.483
100,500,8,21,28,42,117,1209,0.586
100,500,8,14,45,20,92,691,0.402
100,500,8,25,61,42,148,1337,0.579
100,500,8,54,59,26,151,1030,0.403
100,500,8,54,19,26,134,875,0.446
100,500,8,28,45,20,92,853,0.399
100,500,8,14,17,20,92,776,0.576
100,500,8,14,45,20,163,889,0.564
100,500,8,24,16,26,146,1709,0.76
100,500,8,83,68,26,178,1009,0.428
100,500,8,64,39,38,130,1305,0.553
100,500,8,86,14,26,137,717,0.477
100,500,8,58,47,26,157,1210,0.46
100,500,8,85,39,38,130,1082,0.494
100,500,8,64,77,38,130,1037,0.475
