run-id,N_individuals,steps,landscape_area,habitat_area,matrix_area,type_scenario,proportion_habitat_random,perceptual-range,matrix-permeability,mean_hab_neighbors,total_crossings,assess-top-sections
4009872A,100,300,7056,2982,3990,8,45.129,8.119,0.1,1.9642857142857142,329,0.653
4009872A,100,300,7056,2982,3990,8,45.129,8.119,0.1,1.9642857142857142,361,0.582
7259190D,100,300,7056,3229,3743,8,45.129,8.119,0.1,1.8333333333333333,249,0.647
7259190D,100,300,7056,4293,2679,8,64.986,10.08,0.1,2.6904761904761907,203,0.596
4009872A,100,300,7056,4440,2532,8,64.986,10.08,0.1,3.75,339,0.531
4009872A,100,300,7056,4440,2532,8,64.986,10.08,0.1,3.75,311,0.601
7259190D,100,300,7056,4293,2679,8,64.986,10.08,0.1,2.6904761904761907,284,0.644
7259190D,100,300,7056,3229,3743,8,45.129,13.072,0.1,1.8333333333333333,184,0.679
4009872A,100,300,7056,2982,3990,8,45.129,13.072,0.1,1.9642857142857142,263,0.673
7259190D,100,300,7056,4293,2679,8,64.986,8.72,0.1,2.6904761904761907,234,0.556
7259190D,100,300,7056,3229,3743,8,45.129,13.072,0.1,1.8333333333333333,214,0.71
4009872A,100,300,7056,2982,3990,8,45.129,13.072,0.1,1.9642857142857142,373,0.694
4009872A,100,300,7056,4440,2532,8,64.986,8.72,0.1,3.75,294,0.612
7259190D,100,300,7056,3550,3422,8,52.63,8.119,0.1,1.869047619047619,250,0.636
7259190D,100,300,7056,4293,2679,8,64.986,8.72,0.1,2.6904761904761907,244,0.611
4009872A,100,300,7056,4440,2532,8,64.986,8.72,0.1,3.75,374,0.495
4009872A,100,300,7056,3379,3593,8,52.63,8.119,0.1,1.9642857142857142,311,0.627
7259190D,100,300,7056,3438,3534,8,49.979,10.08,0.1,1.8333333333333333,226,0.58
7259190D,100,300,7056,3550,3422,8,52.63,8.119,0.1,1.869047619047619,265,0.649
4009872A,100,300,7056,3379,3593,8,52.63,8.119,0.1,1.9642857142857142,304,0.678
4009872A,100,300,7056,3264,3708,8,49.979,10.08,0.1,1.9642857142857142,278,0.669
7259190D,100,300,7056,3438,3534,8,49.979,10.08,0.1,1.8333333333333333,213,0.629
7259190D,100,300,7056,3550,3422,8,52.63,13.072,0.1,1.869047619047619,238,0.626
4009872A,100,300,7056,3264,3708,8,49.979,10.08,0.1,1.9642857142857142,320,0.672
4009872A,100,300,7056,3379,3593,8,52.63,13.072,0.1,1.9642857142857142,275,0.778
