"run_id","habitat_patches"
"1271260D.asc","13"
"1272255E.asc","16"
"1272758B.asc","2"
"1275076E.asc","3"
"1275966C.asc","3"
"1276599C.asc","5"
"1276794A.asc","9"
"1277938C.asc","13"
"1277969E.asc","4"
"1277983D.asc","13"
"1278498B.asc","2"
"1279026C.asc","3"
"1279093D.asc","2"
"1280741C.asc","14"
"1281033E.asc","5"
"1286085C.asc","15"
"1286823C.asc","10"
"1287839C.asc","11"
"1288264B.asc","5"
"1288679A.asc","12"
"1289219C.asc","14"
"1289396B.asc","5"
"1290421C.asc","9"
"1291537E.asc","4"
"1291701B.asc","2"
"1292528B.asc","4"
"1293566C.asc","15"
"1295079C.asc","17"
"1295401E.asc","5"
"129600B.asc","2"
"129618A.asc","14"
"1296840C.asc","5"
"1296952B.asc","5"
"1297018B.asc","9"
"1298644B.asc","13"
"1298830E.asc","2"
"1299448C.asc","2"
"1300155D.asc","6"
"1300910B.asc","17"
"1301647A.asc","13"
"1302018B.asc","8"
"1302841D.asc","18"
"130547E.asc","13"
"1305610A.asc","13"
"1306529C.asc","12"
"13109A.asc","5"
"1311955A.asc","9"
"1313041C.asc","13"
"1314284B.asc","2"
"1314341A.asc","13"
"1314353B.asc","11"
"131762B.asc","11"
"1319762C.asc","8"
"1319874A.asc","13"
"1322169E.asc","6"
"1323252C.asc","2"
"1327128D.asc","2"
"1327737A.asc","2"
"132786D.asc","10"
"1328536A.asc","19"
"1328690E.asc","14"
"1329478C.asc","6"
"1331168C.asc","3"
"1331179E.asc","24"
"1331950D.asc","4"
"1332352C.asc","6"
"1332687E.asc","13"
"1332728C.asc","14"
"133295B.asc","9"
"13350B.asc","6"
"1335868D.asc","11"
"1337176D.asc","13"
"133856D.asc","2"
"1338577B.asc","15"
"1338587D.asc","14"
"1339267C.asc","17"
"1339978A.asc","10"
"1340447A.asc","13"
"1342032D.asc","10"
"1342989A.asc","2"
"1343159B.asc","2"
"1343784D.asc","3"
"1344347E.asc","3"
"1344362E.asc","2"
"1345346B.asc","3"
"1345880E.asc","15"
"1345898B.asc","12"
"1347303E.asc","13"
"1347412B.asc","8"
"1347919D.asc","15"
"1349687E.asc","9"
"1351391B.asc","5"
"1351945E.asc","5"
"1352163D.asc","2"
"1352544B.asc","6"
"1352603C.asc","5"
"1352825B.asc","11"
"1354930D.asc","12"
"1355713D.asc","13"
"1358026A.asc","11"
"1358937D.asc","8"
"1359506B.asc","5"
"1360332E.asc","15"
"1360679B.asc","6"
"1360853D.asc","3"
"1361084B.asc","6"
"1363863A.asc","16"
"1364740C.asc","5"
"136635A.asc","12"
"1366456E.asc","13"
"1366714E.asc","14"
"1367473E.asc","2"
"1368444D.asc","20"
"1368829B.asc","6"
"1369119E.asc","14"
"1371731C.asc","11"
"1375487C.asc","9"
"1376761D.asc","11"
"1377417D.asc","2"
"1378104B.asc","13"
"1379903E.asc","10"
"138018C.asc","3"
"138257A.asc","8"
"1382691E.asc","9"
"1382972B.asc","2"
"1383192E.asc","3"
"1388657E.asc","8"
"139005B.asc","6"
"1390361A.asc","2"
"139286C.asc","13"
"1394898E.asc","15"
"1395179D.asc","5"
"140096D.asc","6"
"1401224B.asc","9"
"1402837B.asc","14"
"1403458D.asc","12"
"140357A.asc","14"
"1404246D.asc","13"
"140501B.asc","7"
"1405476B.asc","19"
"1407293B.asc","11"
"140862B.asc","5"
"1411209A.asc","8"
"141292A.asc","4"
"1417124D.asc","21"
"1418362B.asc","5"
"1418882B.asc","14"
"1419771A.asc","13"
"1420655C.asc","3"
"1421241A.asc","11"
"1422242D.asc","2"
"1422453B.asc","13"
"1424879E.asc","6"
"1425246B.asc","9"
"1425742B.asc","7"
"1425999D.asc","4"
"1426366D.asc","6"
"142659B.asc","4"
"1432053A.asc","4"
"1432805D.asc","16"
"1434047A.asc","10"
"1434338B.asc","16"
"1434491E.asc","14"
"1435484E.asc","9"
"1435812C.asc","10"
"1435949B.asc","3"
"1441149D.asc","12"
"144165D.asc","10"
"1442054E.asc","9"
"144281B.asc","12"
"1444763A.asc","12"
"1446443A.asc","10"
"1447678A.asc","3"
"1447940D.asc","10"
"1448802D.asc","13"
"1450475C.asc","12"
"1450685C.asc","14"
"1451842C.asc","2"
"1452733B.asc","13"
"1453154A.asc","2"
"1455493D.asc","6"
"1456119A.asc","7"
"145629E.asc","15"
"1456810B.asc","8"
"1456853A.asc","10"
"145906B.asc","10"
"1459390A.asc","13"
"1459630C.asc","12"
"1460140B.asc","10"
"1460616A.asc","11"
"1460875C.asc","15"
"1461088A.asc","15"
"1461530A.asc","12"
"1461548D.asc","9"
"1461596B.asc","8"
"1462041C.asc","10"
"1462168E.asc","5"
"1462471D.asc","14"
"1462692A.asc","10"
"1463671B.asc","5"
"1464750E.asc","11"
"1465260B.asc","2"
"146543D.asc","5"
"1465717D.asc","4"
"1467854E.asc","2"
"1469254B.asc","13"
"147062D.asc","14"
"1471019A.asc","2"
"147305D.asc","14"
"1475184A.asc","8"
"1475975B.asc","9"
"1476558A.asc","13"
"1477900D.asc","4"
"1479684D.asc","11"
"1480807C.asc","7"
"1481293E.asc","2"
"1482201E.asc","9"
"1482474D.asc","2"
"1484184D.asc","16"
"1484648C.asc","13"
"1486422E.asc","3"
"1487517A.asc","15"
"1487788B.asc","15"
"1487890D.asc","7"
"149020B.asc","4"
"1490602E.asc","7"
"1490867A.asc","14"
"1491880A.asc","13"
"1492005D.asc","8"
"1494604A.asc","2"
"1496601B.asc","2"
"149719C.asc","6"
"14993C.asc","15"
"1499680A.asc","14"
"1502446A.asc","9"
"1502463A.asc","2"
"1503280D.asc","6"
"1503671C.asc","10"
"1505073E.asc","6"
"150507C.asc","4"
"1505491D.asc","4"
"1506155E.asc","7"
"1506828D.asc","10"
"1507734D.asc","13"
"1508063A.asc","14"
"1508296A.asc","13"
"1509111E.asc","5"
"1509470E.asc","2"
"1509685B.asc","13"
"1511734B.asc","9"
"1512561B.asc","17"
"1513475A.asc","9"
"1513787A.asc","9"
"151512A.asc","6"
"1516043B.asc","4"
"1517067B.asc","9"
"1519594D.asc","2"
"1521692B.asc","10"
"1522327B.asc","4"
"1523096B.asc","5"
"1523124A.asc","12"
"1524180C.asc","9"
"1526779B.asc","2"
"1527619B.asc","7"
"1528741E.asc","9"
"1530452B.asc","3"
"1530464B.asc","8"
"1531579D.asc","16"
"1532022D.asc","15"
"1532683C.asc","4"
"1535920C.asc","7"
"1536136B.asc","10"
"1536705D.asc","11"
"1537616D.asc","5"
"1538038D.asc","3"
"1539995A.asc","18"
"1541195D.asc","7"
