"","[run number]","proportion_of_habitat","matrix_permeability","perceptual_range","vision_angle","random-seed","[step]","total_crossings","assess_top_sections","siminputrow"
"112",1,24,14,19,91,1560180808,499,363,0.554,112
"113",1,30,46,17,115,1560180808,499,626,0.558,113
"114",1,79,66,40,90,1560180808,499,755,0.448,114
"115",1,42,34,37,144,1560180808,499,762,0.686,115
"116",1,46,68,14,169,1560180808,499,653,0.513,116
"117",1,15,13,15,131,1560180808,499,270,0.585,117
"118",1,43,30,23,116,1560180808,499,548,0.573,118
"119",1,36,52,22,153,1560180808,499,637,0.56,119
"120",1,19,14,23,145,1560180808,499,405,0.706,120
"121",1,42,72,27,98,1560180808,499,708,0.417,121
"122",1,58,73,37,167,1560180808,499,1111,0.521,122
"123",1,87,48,13,106,1560180808,499,647,0.41,123
"124",1,63,84,41,150,1560180808,499,1072,0.487,124
"125",1,41,21,22,101,1560180808,499,495,0.651,125
"126",1,16,64,40,175,1560180808,499,879,0.527,126
"127",1,66,53,37,105,1560180808,499,989,0.404,127
"128",1,76,89,31,163,1560180808,499,923,0.455,128
"129",1,62,54,37,129,1560180808,499,966,0.451,129
"130",1,22,77,5,170,1560180808,499,622,0.436,130
"131",1,28,48,5,155,1560180808,499,586,0.44,131
"132",1,76,71,12,152,1560180808,499,623,0.433,132
"133",1,41,25,27,105,1560180808,499,535,0.589,133
"134",1,82,52,21,155,1560180808,499,702,0.474,134
"135",1,67,69,8,127,1560180808,499,550,0.378,135
"136",1,27,85,27,132,1560180808,499,782,0.482,136
"137",1,84,76,19,119,1560180808,499,677,0.402,137
"138",1,16,22,28,135,1560180808,499,447,0.588,138
"139",1,51,77,11,92,1560180808,499,527,0.421,139
"140",1,64,82,7,114,1560180808,499,640,0.356,140
"141",1,87,43,28,93,1560180808,499,646,0.385,141
"142",1,88,31,7,175,1560180808,499,615,0.459,142
"143",1,51,89,20,119,1560180808,499,654,0.408,143
"144",1,42,14,22,99,1560180808,499,479,0.668,144
"145",1,22,12,38,99,1560180808,499,588,0.65,145
"146",1,32,24,35,137,1560180808,499,563,0.668,146
"147",1,52,47,25,141,1560180808,499,853,0.542,147
"148",1,47,32,15,176,1560180808,499,382,0.764,148
"149",1,73,36,32,94,1560180808,499,719,0.408,149
"150",1,35,73,34,134,1560180808,499,791,0.483,150
"151",1,87,61,26,99,1560180808,499,653,0.427,151
"152",1,17,50,31,150,1560180808,499,628,0.508,152
"153",1,53,69,25,104,1560180808,499,691,0.437,153
"154",1,22,77,6,158,1560180808,499,509,0.407,154
"155",1,14,43,24,150,1560180808,499,427,0.471,155
"156",1,65,51,19,131,1560180808,499,733,0.424,156
"157",1,82,88,21,151,1560180808,499,729,0.418,157
"158",1,73,49,23,133,1560180808,499,692,0.392,158
"159",1,37,41,9,126,1560180808,499,406,0.461,159
"160",1,56,57,9,177,1560180808,499,546,0.456,160
"161",1,69,27,17,95,1560180808,499,584,0.432,161
"162",1,13,49,24,93,1560180808,499,611,0.417,162
"163",1,26,10,18,174,1560180808,499,908,0.967,163
"164",1,58,64,38,177,1560180808,499,1063,0.548,164
"165",1,12,87,6,131,1560180808,499,603,0.365,165
"166",1,47,70,14,171,1560180808,499,537,0.542,166
"167",1,32,31,11,152,1560180808,499,414,0.652,167
"168",1,73,31,37,177,1560180808,499,711,0.466,168
"169",1,75,90,26,102,1560180808,499,729,0.388,169
"170",1,46,11,30,167,1560180808,499,426,0.92,170
"171",1,41,57,21,133,1560180808,499,570,0.544,171
"172",1,33,38,37,160,1560180808,499,626,0.615,172
"173",1,66,74,8,115,1560180808,499,562,0.374,173
"174",1,88,75,17,91,1560180808,499,599,0.381,174
"175",1,13,46,37,107,1560180808,499,770,0.469,175
"176",1,70,24,34,142,1560180808,499,903,0.452,176
"177",1,33,76,11,120,1560180808,499,551,0.383,177
"178",1,55,13,20,178,1560180808,499,822,0.696,178
"179",1,68,77,27,148,1560180808,499,792,0.438,179
"180",1,50,41,6,93,1560180808,499,488,0.393,180
"181",1,45,42,39,172,1560180808,499,692,0.728,181
"182",1,55,34,26,100,1560180808,499,694,0.432,182
"183",1,10,36,35,178,1560180808,499,546,0.518,183
"184",1,24,46,29,134,1560180808,499,607,0.573,184
"185",1,21,41,35,95,1560180808,499,701,0.505,185
"186",1,80,88,26,152,1560180808,499,707,0.416,186
"187",1,24,51,25,136,1560180808,499,570,0.498,187
"188",1,41,33,12,150,1560180808,499,360,0.717,188
"189",1,19,72,42,100,1560180808,499,910,0.469,189
"190",1,63,64,12,122,1560180808,499,623,0.425,190
"191",1,48,24,12,178,1560180808,499,385,0.87,191
"192",1,42,52,15,129,1560180808,499,547,0.492,192
"193",1,74,60,26,173,1560180808,499,689,0.467,193
"194",1,72,86,17,96,1560180808,499,637,0.364,194
"195",1,65,59,5,154,1560180808,499,651,0.43,195
"196",1,27,13,26,102,1560180808,499,615,0.711,196
"197",1,62,43,24,176,1560180808,499,865,0.434,197
"198",1,45,38,33,100,1560180808,499,614,0.51,198
"199",1,78,85,30,127,1560180808,499,710,0.432,199
"200",1,19,62,11,162,1560180808,499,541,0.401,200
"201",1,52,65,19,162,1560180808,499,642,0.463,201
"202",1,50,82,34,115,1560180808,499,747,0.447,202
"203",1,81,68,10,103,1560180808,499,607,0.374,203
"204",1,56,69,33,169,1560180808,499,914,0.479,204
"205",1,69,45,22,177,1560180808,499,745,0.456,205
"206",1,24,28,37,109,1560180808,499,636,0.563,206
"207",1,51,70,33,99,1560180808,499,690,0.414,207
"208",1,75,66,28,176,1560180808,499,662,0.467,208
"209",1,28,16,24,175,1560180808,499,796,0.878,209
"210",1,37,42,9,177,1560180808,499,584,0.654,210
