N_individuals,steps,landscape_area,habitat_area,matrix_area,type_scenario,proportion_of_habitat,matrix_permeability,perceptual_range,vision_angle,total_crossings,assess_top_sections
100,500,7056,4135,2837,8,61,31,34,100,652,0.492
100,500,7056,3117,3855,8,48,24,7,132,322,0.612
100,500,7056,2411,4561,8,34,55,14,163,453,0.536
100,500,7056,3973,2999,8,59,54,15,118,492,0.455
100,500,7056,5163,1809,8,74,67,23,91,677,0.433
100,500,7056,1060,5912,8,13,16,39,112,410,0.549
100,500,7056,5248,1724,8,75,49,28,158,890,0.549
100,500,7056,2671,4301,8,37,88,39,127,943,0.444
100,500,7056,2138,4834,8,30,36,11,144,575,0.48
100,500,7056,4227,2745,8,62,61,28,159,619,0.467
100,500,7056,1060,5912,8,13,21,30,136,336,0.536
100,500,7056,3763,3209,8,57,51,26,160,432,0.509
100,500,7056,5321,1651,8,76,21,31,149,834,0.529
100,500,7056,3326,3646,8,50,48,21,121,498,0.478
100,500,7056,1331,5641,8,16,12,23,133,188,0.835
100,500,7056,5849,1123,8,84,15,40,140,1331,0.558
100,500,7056,2170,4802,8,31,11,22,177,248,0.653
100,500,7056,1721,5251,8,22,78,26,97,731,0.398
100,500,7056,4301,2671,8,63,87,32,162,914,0.461
100,500,7056,4792,2180,8,68,71,20,166,757,0.464
100,500,7056,3117,3855,8,48,52,41,104,741,0.506
100,500,7056,4624,2348,8,66,11,8,149,284,0.739
100,500,7056,3503,3469,8,53,29,27,163,330,0.645
100,500,7056,6024,948,8,86,31,15,108,664,0.42
100,500,7056,3427,3545,8,52,86,11,165,567,0.4
100,500,7056,3612,3360,8,55,13,34,115,423,0.586
100,500,7056,4227,2745,8,62,58,36,163,780,0.556
100,500,7056,3828,3144,8,58,29,30,147,280,0.571
100,500,7056,5964,1008,8,85,67,34,109,840,0.444
100,500,7056,5248,1724,8,75,84,18,101,617,0.368
100,500,7056,1662,5310,8,21,30,11,129,497,0.503
100,500,7056,1136,5836,8,14,72,35,126,876,0.485
100,500,7056,1982,4990,8,27,42,10,104,527,0.416
100,500,7056,1256,5716,8,15,12,9,90,374,0.449
100,500,7056,1927,5045,8,26,37,19,93,633,0.427
100,500,7056,4792,2180,8,68,25,35,117,716,0.499
100,500,7056,5063,1909,8,72,25,14,155,436,0.626
100,500,7056,3055,3917,8,44,84,16,96,613,0.365
100,500,7056,3274,3698,8,49,70,40,123,869,0.478
100,500,7056,2605,4367,8,36,53,16,96,549,0.392
100,500,7056,5397,1575,8,78,84,29,106,770,0.414
100,500,7056,3012,3960,8,43,61,40,119,864,0.508
100,500,7056,4914,2058,8,69,77,35,131,898,0.493
100,500,7056,1256,5716,8,15,24,42,163,336,0.625
100,500,7056,5964,1008,8,85,76,12,157,617,0.386
100,500,7056,1361,5611,8,17,53,16,136,527,0.385
100,500,7056,4135,2837,8,61,87,27,178,860,0.436
100,500,7056,5964,1008,8,85,34,22,132,720,0.393
100,500,7056,2114,4858,8,29,68,38,151,944,0.488
100,500,7056,3535,3437,8,54,38,22,139,363,0.49
100,500,7056,3973,2999,8,59,69,34,177,831,0.525
100,500,7056,4448,2524,8,65,23,16,145,382,0.62
100,500,7056,3503,3469,8,53,81,7,153,557,0.368
100,500,7056,3274,3698,8,49,64,26,164,595,0.531
100,500,7056,4448,2524,8,65,75,6,149,414,0.432
100,500,7056,4301,2671,8,63,45,5,180,490,0.5
100,500,7056,2736,4236,8,39,40,18,113,536,0.461
100,500,7056,5849,1123,8,84,77,22,122,834,0.4
100,500,7056,3064,3908,8,45,68,6,177,636,0.418
100,500,7056,3409,3563,8,51,72,19,171,681,0.495
100,500,7056,4366,2606,8,64,56,15,148,491,0.479
100,500,7056,1539,5433,8,18,81,5,143,573,0.382
100,500,7056,4301,2671,8,63,38,31,99,594,0.46
100,500,7056,1614,5358,8,20,80,18,169,545,0.413
100,500,7056,2671,4301,8,37,33,16,122,396,0.452
