"","[run number]","matrix_permeability","perceptual_range","vision_angle","scenario","random-seed","[step]","total_crossings","assess_top_sections","siminputrow"
"112",1,28,24,169,1,-741671208,499,1942,0.833,112
"113",1,13,37,95,5,-741671208,499,646,0.438,113
"114",1,24,27,172,5,-741671208,499,576,0.47,114
"115",1,87,19,151,5,-741671208,499,564,0.406,115
"116",1,57,19,104,2,-741671208,499,790,0.452,116
"117",1,34,12,127,5,-741671208,499,347,0.415,117
"118",1,78,25,109,6,-741671208,499,714,0.396,118
"119",1,19,24,146,5,-741671208,499,473,0.478,119
"120",1,19,29,121,2,-741671208,499,1654,0.648,120
"121",1,66,35,140,3,-741671208,499,922,0.586,121
"122",1,88,13,146,2,-741671208,499,712,0.379,122
"123",1,64,20,107,1,-741671208,499,825,0.459,123
"124",1,41,8,169,5,-741671208,499,260,0.465,124
"125",1,16,41,150,3,-741671208,499,1240,0.951,125
"126",1,80,26,139,5,-741671208,499,737,0.455,126
"127",1,26,13,105,4,-741671208,499,712,0.545,127
"128",1,12,19,99,6,-741671208,499,544,0.682,128
"129",1,70,6,145,7,-741671208,499,505,0.41,129
"130",1,57,16,174,6,-741671208,499,566,0.477,130
"131",1,35,34,132,6,-741671208,499,772,0.433,131
"132",1,63,28,119,4,-741671208,499,937,0.411,132
"133",1,51,36,163,6,-741671208,499,972,0.515,133
"134",1,31,25,107,4,-741671208,499,1085,0.387,134
"135",1,88,38,119,6,-741671208,499,920,0.427,135
"136",1,42,23,169,6,-741671208,499,783,0.452,136
"137",1,26,11,94,3,-741671208,499,331,0.414,137
"138",1,74,26,112,3,-741671208,499,697,0.426,138
"139",1,14,31,123,7,-741671208,499,302,0.44,139
"140",1,33,12,147,2,-741671208,499,921,0.611,140
"141",1,86,25,132,2,-741671208,499,958,0.415,141
"142",1,89,17,156,3,-741671208,499,631,0.436,142
"143",1,44,22,142,4,-741671208,499,1154,0.414,143
"144",1,73,14,173,6,-741671208,499,531,0.394,144
"145",1,60,37,116,5,-741671208,499,879,0.452,145
"146",1,78,39,158,6,-741671208,499,1037,0.516,146
"147",1,25,14,176,2,-741671208,499,1167,0.795,147
"148",1,81,18,165,1,-741671208,499,902,0.477,148
"149",1,37,14,168,3,-741671208,499,157,0.497,149
"150",1,67,27,119,7,-741671208,499,642,0.421,150
"151",1,69,37,134,4,-741671208,499,1066,0.451,151
"152",1,82,26,137,7,-741671208,499,735,0.456,152
"153",1,67,15,149,4,-741671208,499,781,0.407,153
"154",1,13,12,171,3,-741671208,499,16,1,154
"155",1,85,23,98,2,-741671208,499,742,0.384,155
"156",1,46,12,95,6,-741671208,499,522,0.408,156
"157",1,11,15,107,6,-741671208,499,515,0.808,157
"158",1,58,16,96,6,-741671208,499,642,0.399,158
"159",1,66,37,119,7,-741671208,499,774,0.469,159
"160",1,24,6,147,2,-741671208,499,714,0.507,160
"161",1,12,24,157,5,-741671208,499,475,0.484,161
"162",1,23,35,164,2,-741671208,499,2462,0.567,162
"163",1,89,37,110,2,-741671208,499,996,0.45,163
"164",1,56,15,167,6,-741671208,499,696,0.431,164
"165",1,84,26,122,6,-741671208,499,635,0.395,165
"166",1,12,11,99,3,-741671208,499,274,0.456,166
"167",1,69,18,161,4,-741671208,499,980,0.432,167
"168",1,35,12,171,3,-741671208,499,83,0.59,168
"169",1,65,11,98,2,-741671208,499,700,0.38,169
"170",1,43,12,145,3,-741671208,499,270,0.474,170
"171",1,63,22,107,7,-741671208,499,463,0.417,171
"172",1,28,28,179,4,-741671208,499,2007,0.419,172
"173",1,76,8,133,3,-741671208,499,477,0.415,173
"174",1,22,28,134,2,-741671208,499,1716,0.633,174
"175",1,76,28,109,1,-741671208,499,881,0.49,175
"176",1,86,28,95,3,-741671208,499,717,0.395,176
"177",1,61,41,124,3,-741671208,499,1045,0.593,177
"178",1,37,15,127,5,-741671208,499,459,0.434,178
"179",1,72,39,147,2,-741671208,499,1402,0.51,179
"180",1,85,25,118,7,-741671208,499,728,0.419,180
"181",1,34,14,108,4,-741671208,499,790,0.492,181
"182",1,81,29,121,4,-741671208,499,948,0.429,182
"183",1,88,28,168,4,-741671208,499,974,0.453,183
"184",1,19,5,152,2,-741671208,499,644,0.543,184
"185",1,48,32,125,6,-741671208,499,705,0.434,185
"186",1,89,27,114,5,-741671208,499,771,0.412,186
"187",1,86,24,98,7,-741671208,499,677,0.383,187
"188",1,53,19,112,6,-741671208,499,714,0.394,188
"189",1,67,29,122,2,-741671208,499,1101,0.451,189
"190",1,58,32,166,4,-741671208,499,1143,0.434,190
"191",1,23,6,115,2,-741671208,499,734,0.478,191
"192",1,85,30,159,5,-741671208,499,851,0.447,192
"193",1,48,22,90,2,-741671208,499,794,0.47,193
"194",1,35,36,124,1,-741671208,499,1740,0.749,194
"195",1,59,37,122,5,-741671208,499,846,0.475,195
"196",1,76,26,138,2,-741671208,499,1002,0.451,196
"197",1,38,38,96,4,-741671208,499,1059,0.428,197
"198",1,52,25,134,4,-741671208,499,1039,0.393,198
"199",1,87,31,91,4,-741671208,499,762,0.403,199
"200",1,61,38,122,4,-741671208,499,1072,0.478,200
"201",1,18,36,177,1,-741671208,499,2947,0.945,201
"202",1,17,24,140,6,-741671208,499,588,0.478,202
"203",1,24,29,122,7,-741671208,499,398,0.425,203
"204",1,83,22,171,3,-741671208,499,741,0.429,204
"205",1,76,21,95,4,-741671208,499,683,0.394,205
"206",1,29,32,150,3,-741671208,499,632,0.79,206
